=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 10:07:02 =~=~=~=~=~=~=~=~=~=~=~=
-0.033,5.690,--0.445,3.269,-9.155,1.960,1.960,1.820
-1.551,1.115,-9.571,-76.650,-77.980,-77.-1.043,0.871,-9.619,-82.600,-98.070,-98.-0.809,1.948,-9.543,-139.510,-139.510,-1-0.861,1.565,-9.447,35.140,-26.670,-26.6-0.976,1.522,-9.547,-270.130,-233.870,-2-1.029,3.173,-9.045,-143.920,-143.920,-1-0.091,2.599,-9.634,102.060,102.060,102.-0.282,3.039,-9.150,-21.420,-21.420,-40.-0.512,3.005,-9.284,-11.900,-11.900,-11.-0.584,2.709,-9.299,-53.550,-53.550,-53.-0.512,2.780,-9.322,-40.180,-40.180,-40.-0.464,3.336,-8.710,-435.680,-435.680,-4-0.048,5.623,-8.605,-411.460,-411.460,-4-3.886,6.480,-4.910,-9.310,-9.310,-9.310-0.823,2.441,-5.527,-192.080,-192.080,-11.440,5.250,-8.250,-38.010,-38.010,-38.00.172,5.815,-8.222,2.940,16.590,16.590
0.057,5.379,-8.064,10.850,10.850,10.8500.048,5.374,-8.164,1.400,0.000,0.000
0.019,5.365,-8.164,4.410,2.240,0.630
0.033,5.350,-8.121,2.870,2.870,2.870
0.029,5.379,-8.160,1.330,1.330,1.260
0.048,5.365,-8.164,1.890,1.890,1.610
0.029,5.360,-8.155,1.750,1.750,2.030
0.033,5.365,-8.164,1.890,1.890,2.030
0.038,5.365,-8.150,2.100,2.100,2.100
0.019,5.365,-8.169,1.890,1.890,1.820
0.038,5.350,-8.169,2.100,2.100,2.100
0.024,5.369,-8.131,2.100,2.100,2.100
0.038,5.365,-8.160,1.960,1.960,1.960
0.043,5.350,-8.145,2.030,2.030,2.030
0.043,5.369,-8.145,1.960,1.960,1.960
0.048,5.369,-8.150,2.030,2.030,2.030
0.038,5.360,-8.145,1.960,1.960,1.960
0.043,5.341,-8.160,1.960,1.960,1.960
0.043,5.365,-8.136,1.960,1.960,1.960
0.029,5.331,-8.150,1.960,1.960,1.960
0.067,5.374,-8.150,2.030,2.030,2.030
0.029,5.379,-8.136,2.030,2.030,2.030
0.033,5.350,-8.140,2.030,2.030,2.030
0.029,5.355,-8.136,2.100,2.100,2.100
0.019,5.355,-8.150,2.170,2.170,2.170
0.048,5.360,-8.136,1.960,2.240,2.240
0.048,5.360,-8.160,2.100,2.100,2.100
0.053,5.350,-8.155,2.170,2.170,2.100
0.048,5.374,-8.160,1.960,1.960,1.960
0.048,5.379,-8.174,1.960,1.960,1.960
0.038,5.350,-8.160,1.680,1.960,1.960
0.014,5.369,-8.140,2.100,2.100,1.960
0.019,5.355,-8.155,1.960,2.100,2.100
0.048,5.365,-8.155,2.030,2.030,1.890
0.029,5.360,-8.131,1.890,1.890,1.890
0.010,5.360,-8.136,1.820,1.820,1.890
0.043,5.360,-8.174,2.030,2.030,2.030
0.038,5.360,-8.155,1.820,1.890,1.890
0.029,5.336,-8.121,1.820,1.820,1.960
0.038,5.350,-8.136,2.100,2.100,2.100
0.043,5.336,-8.155,2.030,2.030,2.030
0.038,5.355,-8.150,1.960,1.960,1.960
0.029,5.360,-8.150,2.030,2.030,2.030
0.029,5.346,-8.145,1.960,1.890,1.890
0.038,5.350,-8.150,1.960,1.960,1.960
0.014,5.365,-8.160,1.960,2.030,2.030
0.038,5.374,-8.140,1.960,1.960,2.030
0.038,5.331,-8.155,1.890,1.890,1.960
0.019,5.365,-8.160,2.030,2.030,2.030
0.057,5.341,-8.169,1.960,1.960,1.960
0.033,5.379,-8.150,1.960,1.960,1.960
0.029,5.326,-8.136,1.960,1.960,1.960
0.033,5.360,-8.145,1.960,1.960,2.030
0.057,5.350,-8.174,1.960,1.960,1.960
0.033,5.341,-8.140,1.960,1.960,1.890
0.038,5.360,-8.164,2.030,2.030,1.890
0.033,5.355,-8.145,1.960,1.960,2.030
0.038,5.365,-8.150,1.890,1.890,1.890
0.019,5.350,-8.136,1.960,1.960,1.960
0.029,5.365,-8.136,1.890,1.890,1.890
0.038,5.355,-8.150,1.960,1.960,1.960
0.014,5.346,-8.140,2.030,2.030,2.030
0.033,5.350,-8.155,2.030,2.030,2.030
0.029,5.346,-8.198,1.890,1.890,1.890
0.038,5.336,-8.155,2.030,1.960,1.960
0.033,5.341,-8.155,1.820,2.030,2.030
0.043,5.360,-8.183,1.890,1.890,1.890
0.029,5.307,-8.107,3.290,3.290,3.290
0.033,5.374,-8.255,0.350,0.280,0.280
0.043,5.365,-8.164,2.030,2.030,2.030
0.043,5.326,-8.126,1.330,1.330,1.330
0.033,5.374,-8.183,1.610,1.540,1.540
0.029,5.346,-8.160,2.240,2.030,2.030
0.038,5.331,-8.160,1.750,1.820,1.820
0.024,5.346,-8.136,2.310,2.310,1.960
0.029,5.360,-8.136,2.240,2.450,2.310
0.033,5.341,-8.160,1.960,1.960,1.960
0.038,5.355,-8.145,2.100,1.890,1.890
0.038,5.336,-8.140,2.170,2.030,2.030
0.038,5.355,-8.140,2.170,2.240,2.240
0.024,5.389,-8.188,1.820,1.820,1.820
0.038,5.331,-8.145,1.820,1.820,1.820
0.014,5.360,-8.126,2.030,2.170,2.170
0.038,5.341,-8.126,1.820,2.030,2.030
0.053,5.374,-8.188,2.240,2.170,2.030
0.033,5.350,-8.183,1.680,1.960,1.960
0.038,5.350,-8.140,1.610,1.680,1.680
0.048,5.331,-8.131,2.100,2.100,2.100
0.033,5.369,-8.155,1.890,2.100,2.100
0.033,5.341,-8.160,2.100,2.100,2.100
0.043,5.355,-8.164,1.960,1.960,1.960
0.019,5.350,-8.126,1.890,1.890,1.960
0.038,5.350,-8.155,2.100,2.100,2.100
0.048,5.355,-8.164,1.960,1.960,1.960
0.043,5.360,-8.155,1.890,1.820,1.820
0.029,5.341,-8.140,2.030,2.030,1.890
0.057,5.322,-8.150,2.030,2.100,2.100
0.014,5.336,-8.164,1.820,1.820,1.820
0.033,5.365,-8.179,2.030,1.890,1.890
0.024,5.336,-8.136,1.960,1.960,1.960
0.029,5.346,-8.150,1.820,1.960,1.960
0.043,5.355,-8.169,2.030,2.030,1.960
0.043,5.379,-8.169,2.100,2.100,1.960
