aX,aY,aZ,gX,gY,gZ
-0.587,0.220,0.591,-4.830,304.850,-221.620
-0.550,0.236,0.631,4.060,286.860,-220.710
-0.522,0.278,0.690,-14.630,267.960,-211.820
-0.480,0.282,0.681,-46.130,254.310,-201.740
-0.495,0.301,0.697,-66.500,247.800,-190.400
-0.513,0.323,0.784,-75.880,241.920,-180.040
-0.598,0.365,0.921,-89.740,237.160,-171.150
-0.667,0.410,1.000,-105.420,234.290,-165.340
-0.748,0.428,1.067,-87.360,242.620,-168.280
-0.773,0.488,1.209,-97.790,237.930,-137.900
-1.048,0.486,1.431,-109.270,196.210,-179.270
-1.094,0.542,1.526,-137.340,170.170,-173.390
-1.144,0.651,1.573,-119.070,178.570,-135.450
-1.212,0.770,1.754,-112.840,179.200,-114.870
-1.324,0.834,1.931,-120.190,170.450,-103.950
-1.367,0.971,2.171,-129.990,154.350,-94.010
-1.363,1.122,2.314,-120.820,139.510,-75.320
-1.259,1.225,2.685,-108.500,93.870,-50.050
-1.313,1.270,2.838,-85.610,53.480,-24.010
-1.281,1.300,3.085,-59.080,-13.580,4.690
-1.179,1.318,3.175,-16.940,-79.100,17.080
-1.112,1.305,3.171,-5.740,-131.250,28.140
-0.976,1.259,3.130,-1.680,-213.570,45.360
-0.828,1.184,2.938,-41.300,-257.250,61.950
-0.866,1.046,2.684,-47.110,-305.830,75.670
-0.888,0.869,2.394,-50.470,-346.710,92.190
-0.955,0.704,2.085,-55.090,-382.060,97.160
-1.011,0.551,1.790,-62.510,-419.300,89.810
-1.057,0.418,1.350,-84.350,-462.490,89.320
-1.092,0.324,1.032,-99.820,-469.700,89.950
-1.084,0.188,0.739,-112.140,-465.920,78.190
-1.071,0.065,0.536,-122.570,-468.160,79.450
-1.018,-0.013,0.351,-109.060,-466.410,76.930
-0.940,-0.073,0.176,-94.920,-461.160,69.930
-0.880,-0.136,0.057,-76.720,-453.670,63.420
-0.856,-0.208,0.006,-46.830,-442.960,51.660
-0.820,-0.255,-0.007,-6.160,-433.370,28.910
-0.760,-0.246,0.009,6.720,-424.970,17.220
-0.730,-0.212,0.033,19.180,-418.740,9.030
-0.715,-0.187,0.009,20.720,-420.910,4.270
-0.752,-0.161,-0.089,10.360,-425.880,1.190
-0.763,-0.133,-0.209,4.900,-442.540,-11.340
-0.760,-0.140,-0.412,-13.440,-455.350,-21.140
-0.771,-0.116,-0.735,-17.990,-453.810,-32.760
-0.711,-0.095,-0.957,-19.390,-450.030,-48.300
-0.608,-0.063,-1.078,-12.250,-454.020,-62.510
-0.522,-0.018,-1.177,16.380,-463.400,-62.580
-0.425,0.011,-1.282,54.740,-463.540,-62.510
-0.353,0.081,-1.280,77.420,-457.590,-60.970
-0.288,0.285,-1.243,84.980,-449.540,-47.460
-0.309,0.315,-1.286,56.910,-441.630,-37.240
-0.383,0.337,-1.403,16.590,-439.950,-33.670
-0.476,0.366,-1.699,-9.100,-448.350,-31.360
-0.493,0.408,-1.957,-8.400,-459.690,-22.890
-0.501,0.511,-2.230,23.100,-469.630,-19.320
-0.406,0.586,-2.613,40.110,-465.500,-19.670
-0.017,0.682,-3.106,53.200,-426.230,-32.760
0.248,0.749,-3.106,47.390,-392.070,-31.430
0.240,0.742,-3.282,-33.530,-333.200,-38.290
0.414,0.705,-3.324,-38.290,-260.190,-53.830
0.520,0.799,-3.187,-46.830,-193.970,-58.100
0.733,0.900,-2.932,-51.590,-139.370,-54.880
0.713,0.993,-2.788,-53.060,-123.550,-45.010
0.697,1.054,-2.704,-20.860,-115.710,-34.650
0.748,1.169,-2.675,-19.320,-108.010,-19.320
0.781,1.233,-2.616,12.810,-92.680,-3.360
0.824,1.281,-2.518,47.460,-75.250,11.130
